Date (Time hr),id,Date,Queue,Agents Counts,Total Interactions,Transferred,Total Abandoned,Abandoned in T(s),Abandoned After T(s),Abandoned %,Abandoned In T(s) %,Abandoned After T(s) %,Response Rate,Total Answered,Answered In Thresh,Answered %,Answered in T(s) %,SLA %,AVG QHT,AVG RT,AVG TT,AVG ACW,AVG HT,Day,Month,Year,Quater,AHT,QHT,Date (Time hr)Queue
2026-04-13,33,13,Sales_Ops_Queue,2,7,0,0,0,0,0%,0%,0%,1,7,7,100%,100%,100%,0:00:11,0:00:06,0:02:44,0:00:26,0,13,4,2026,Q2,0:03:10,#VALUE!,46125Sales_Ops_Queue
2026-04-14,34,14,Sales_Ops_Queue,2,5,0,2,2,0,40%,40%,0%,1,3,3,60%,60%,100%,0:00:25,0:00:04,0:02:16,0:00:46,0,14,4,2026,Q2,0:03:02,#VALUE!,46126Sales_Ops_Queue
2026-04-15,35,15,Sales_Ops_Queue,2,1,1,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:06,0:00:06,0:02:17,0:00:13,0,15,4,2026,Q2,0:02:30,#VALUE!,46127Sales_Ops_Queue
2026-04-16,36,16,Sales_Ops_Queue,2,8,5,0,0,0,0%,0%,0%,1,8,8,100%,100%,100%,0:00:08,0:00:08,0:02:00,0:00:49,0:00:05,16,4,2026,Q2,0:02:54,#VALUE!,46128Sales_Ops_Queue
2026-04-18,37,18,Sales_Ops_Queue,2,7,0,1,0,1,14%,0%,100%,1,6,6,86%,86%,86%,0:00:23,0:00:08,0:05:49,0:00:15,0,18,4,2026,Q2,0:06:04,#VALUE!,46130Sales_Ops_Queue
2026-04-19,38,19,Sales_Ops_Queue,1,9,0,1,0,1,11%,0%,100%,0.75,8,6,89%,67%,67%,0:01:07,0:00:05,0:03:58,0:00:20,0,19,4,2026,Q2,0:04:18,#VALUE!,46131Sales_Ops_Queue
2026-04-20,39,20,Sales_Ops_Queue,2,7,1,0,0,0,0%,0%,0%,1,7,7,100%,100%,100%,0:00:08,0:00:08,0:04:10,0:01:36,0,20,4,2026,Q2,0:05:46,#VALUE!,46132Sales_Ops_Queue
2026-04-21,40,21,Sales_Ops_Queue,3,12,5,0,0,0,0%,0%,0%,0.92,12,11,100%,92%,92%,0:00:16,0:00:06,0:04:20,0:00:35,0,21,4,2026,Q2,0:04:55,#VALUE!,46133Sales_Ops_Queue
2026-04-22,41,22,Sales_Ops_Queue,3,15,3,0,0,0,0%,0%,0%,1,15,15,100%,100%,100%,0:00:10,0:00:09,0:04:12,0:01:07,0,22,4,2026,Q2,0:05:19,#VALUE!,46134Sales_Ops_Queue
2026-04-23,42,23,Sales_Ops_Queue,2,12,4,3,0,3,25%,0%,100%,1,9,9,75%,75%,75%,0:00:52,0:00:08,0:02:57,0:00:28,0:00:05,23,4,2026,Q2,0:03:30,#VALUE!,46135Sales_Ops_Queue
2026-04-24,43,24,Sales_Ops_Queue,1,5,0,4,0,4,80%,0%,100%,1,1,1,20%,20%,20%,0:03:20,0:00:01,0:07:41,0:00:08,0,24,4,2026,Q2,0:07:49,0:00:00,46136Sales_Ops_Queue
2026-04-25,44,25,Sales_Ops_Queue,1,4,0,3,1,2,75%,25%,67%,1,1,1,25%,25%,50%,0.000694444,0:00:01,0:03:17,0:16:39,0,25,4,2026,Q2,0:19:56,#VALUE!,46137Sales_Ops_Queue
2026-04-26,45,26,Sales_Ops_Queue,2,11,2,3,0,3,27%,0%,100%,1,8,8,73%,73%,73%,0:00:49,0:00:05,0:03:38,0:01:19,0,26,4,2026,Q2,0:04:57,#VALUE!,46138Sales_Ops_Queue
2026-04-27,46,27,Sales_Ops_Queue,2,14,2,1,1,0,7%,7%,0%,0.92,13,12,93%,86%,93%,0:00:27,0:00:04,0:03:23,0:00:53,0,27,4,2026,Q2,0:04:16,#VALUE!,46139Sales_Ops_Queue
2026-04-28,47,28,Sales_Ops_Queue,3,25,9,1,0,1,4%,0%,100%,1,24,24,96%,96%,96%,0:00:12,0:00:07,0:03:24,0:00:44,0:00:01,28,4,2026,Q2,0:04:09,#VALUE!,46140Sales_Ops_Queue
2026-04-29,48,29,Sales_Ops_Queue,3,15,3,1,0,1,7%,0%,100%,1,14,14,93%,93%,93%,0:00:14,0:00:08,0:03:08,0:01:13,0,29,4,2026,Q2,0:04:21,0:00:00,46141Sales_Ops_Queue
2026-04-30,49,30,Sales_Ops_Queue,3,13,0,0,0,0,0%,0%,0%,0.85,13,11,100%,85%,85%,0:00:22,0:00:06,0:03:15,0:00:37,0,30,4,2026,Q2,0:03:52,0:00:00,46142Sales_Ops_Queue
2026-05-02,50,2,Sales_Ops_Queue,1,2,0,0,0,0,0%,0%,0%,1,2,2,100%,100%,100%,0:00:07,0:00:07,0:03:25,0:00:04,0,2,5,2026,Q2,0:03:29,0:00:00,46144Sales_Ops_Queue
2026-05-03,51,3,Sales_Ops_Queue,1,10,0,3,0,3,30%,0%,100%,0.71,7,5,70%,50%,50%,0.001388889,0:00:02,0:03:47,0:01:00,0,3,5,2026,Q2,0:04:47,0:00:00,46145Sales_Ops_Queue
2026-05-04,52,4,Sales_Ops_Queue,2,15,0,4,1,3,27%,7%,75%,1,11,11,73%,73%,80%,0:00:45,0:00:04,0:03:05,0:00:10,0,4,5,2026,Q2,0:03:15,#VALUE!,46146Sales_Ops_Queue
2026-05-05,53,5,Sales_Ops_Queue,2,12,0,3,2,1,25%,17%,33%,1,9,9,75%,75%,92%,0:00:26,0:00:05,0:03:18,0:00:14,0,5,5,2026,Q2,0:03:32,#VALUE!,46147Sales_Ops_Queue
2026-05-06,54,6,Sales_Ops_Queue,3,16,1,0,0,0,0%,0%,0%,1,16,16,100%,100%,100%,0:00:09,0:00:06,0:05:16,0:00:51,0,6,5,2026,Q2,0:06:07,#VALUE!,46148Sales_Ops_Queue
2026-05-07,55,7,Sales_Ops_Queue,3,19,6,1,1,0,5%,5%,0%,1,18,18,95%,95%,100%,0:00:08,0:00:07,0:02:36,0:00:17,0:00:04,7,5,2026,Q2,0:02:57,#VALUE!,46149Sales_Ops_Queue
2026-05-08,56,8,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:06,0:00:06,0:05:26,0:00:02,0,8,5,2026,Q2,0:05:28,#VALUE!,46150Sales_Ops_Queue
2026-05-09,57,9,Sales_Ops_Queue,2,4,2,0,0,0,0%,0%,0%,1,4,4,100%,100%,100%,0:00:12,0:00:12,0:00:50,0:00:43,0,9,5,2026,Q2,0:01:33,#VALUE!,46151Sales_Ops_Queue
2026-05-10,58,10,Sales_Ops_Queue,1,14,0,2,0,2,14%,0%,100%,1,12,12,86%,86%,86%,0:00:38,0:00:04,0:04:27,0:03:40,0,10,5,2026,Q2,0:08:07,#VALUE!,46152Sales_Ops_Queue
2026-05-11,59,11,Sales_Ops_Queue,2,19,3,0,0,0,0%,0%,0%,0.95,19,18,100%,95%,95%,0:00:29,0:00:07,0:03:12,0:00:38,0,11,5,2026,Q2,0:03:50,#VALUE!,46153Sales_Ops_Queue
2026-05-12,60,12,Sales_Ops_Queue,3,29,4,5,2,3,17%,7%,60%,0.92,24,22,83%,76%,83%,0:00:31,0:00:04,0:02:50,0:00:44,0:00:02,12,5,2026,Q2,0:03:36,#VALUE!,46154Sales_Ops_Queue
2026-05-13,61,13,Sales_Ops_Queue,3,18,7,0,0,0,0%,0%,0%,1,18,18,100%,100%,100%,0:00:09,0:00:08,0:04:44,0:00:13,0:00:01,13,5,2026,Q2,0:04:58,#VALUE!,46155Sales_Ops_Queue
2026-05-14,62,14,Sales_Ops_Queue,2,22,1,3,1,2,14%,5%,67%,1,19,19,86%,86%,91%,0:00:24,0:00:06,0:03:31,0:15:44,0:00:04,14,5,2026,Q2,0:19:19,#VALUE!,46156Sales_Ops_Queue
2026-05-16,63,16,Sales_Ops_Queue,1,11,0,0,0,0,0%,0%,0%,0.91,11,10,100%,91%,91%,0:00:21,0:00:08,0:02:19,0:00:07,0,16,5,2026,Q2,0:02:26,#VALUE!,46158Sales_Ops_Queue
2026-05-17,64,17,Sales_Ops_Queue,2,7,1,0,0,0,0%,0%,0%,1,7,7,100%,100%,100%,0:00:11,0:00:05,0:07:17,0:00:07,0,17,5,2026,Q2,0:07:24,#VALUE!,46159Sales_Ops_Queue
2026-05-18,65,18,Sales_Ops_Queue,2,16,4,0,0,0,0%,0%,0%,1,16,16,100%,100%,100%,0:00:08,0:00:08,0:04:37,0:00:53,0:00:04,18,5,2026,Q2,0:05:34,#VALUE!,46160Sales_Ops_Queue
2026-05-19,66,19,Sales_Ops_Queue,2,15,1,0,0,0,0%,0%,0%,0.93,15,14,100%,93%,93%,0:00:16,0:00:05,0:02:37,0:00:33,0,19,5,2026,Q2,0:03:10,#VALUE!,46161Sales_Ops_Queue
2026-05-20,67,20,Sales_Ops_Queue,3,9,2,0,0,0,0%,0%,0%,0.78,9,7,100%,78%,78%,0:00:31,0:00:05,0:02:30,0:00:14,0,20,5,2026,Q2,0:02:44,#VALUE!,46162Sales_Ops_Queue
2026-05-21,68,21,Sales_Ops_Queue,3,16,2,1,0,1,6%,0%,100%,1,15,15,94%,94%,94%,0:00:25,0:00:03,0:03:57,0:00:21,0,21,5,2026,Q2,0:04:18,#VALUE!,46163Sales_Ops_Queue
2026-05-22,69,22,Sales_Ops_Queue,0,2,0,2,1,1,100%,50%,50%,0,0,0,0%,0%,50%,0:01:34,0,0,0,0,22,5,2026,Q2,0:00:00,#VALUE!,46164Sales_Ops_Queue
2026-05-23,70,23,Sales_Ops_Queue,1,5,0,2,0,2,40%,0%,100%,1,3,3,60%,60%,60%,0:02:37,0:00:03,0:03:11,0:00:07,0,23,5,2026,Q2,0:03:18,#VALUE!,46165Sales_Ops_Queue
2026-05-24,71,24,Sales_Ops_Queue,2,20,3,1,0,1,5%,0%,100%,1,19,19,95%,95%,95%,0:00:12,0:00:07,0:04:28,0:00:54,0,24,5,2026,Q2,0:05:22,#VALUE!,46166Sales_Ops_Queue
2026-05-25,72,25,Sales_Ops_Queue,2,12,0,0,0,0,0%,0%,0%,1,12,12,100%,100%,100%,0:00:08,0:00:07,0:04:55,0:04:05,0,25,5,2026,Q2,0:09:00,#VALUE!,46167Sales_Ops_Queue
2026-06-01,73,1,Sales_Ops_Queue,3,22,5,3,1,2,14%,5%,67%,0.95,19,18,86%,82%,86%,0:00:35,0:00:05,0:03:42,0:00:05,0:00:36,1,6,2026,Q2,0:04:23,#VALUE!,46174Sales_Ops_Queue
2026-06-02,74,2,Sales_Ops_Queue,3,18,3,3,2,1,17%,11%,33%,0.93,15,14,83%,78%,89%,0:00:21,0:00:04,0:04:25,0:00:14,0:00:10,2,6,2026,Q2,0:04:49,#VALUE!,46175Sales_Ops_Queue
2026-06-03,75,3,Sales_Ops_Queue,2,24,5,1,0,1,4%,0%,100%,0.96,23,22,96%,92%,92%,0:00:25,0:00:08,0:03:53,0:01:30,0,3,6,2026,Q2,0:05:23,#VALUE!,46176Sales_Ops_Queue
2026-06-04,76,4,Sales_Ops_Queue,3,10,1,0,0,0,0%,0%,0%,1,10,10,100%,100%,100%,0:00:13,0:00:07,0:03:09,0:01:27,0,4,6,2026,Q2,0:04:36,#VALUE!,46177Sales_Ops_Queue
2026-06-05,76,5,Sales_Ops_Queue,2,0,,,0,,,,,,0,,,,,,,,,,5,6,2026,Q2,0:00:00,0:00:00,46178Sales_Ops_Queue
2026-06-06,77,6,Sales_Ops_Queue,1,2,0,0,0,0,0%,0%,0%,1,2,2,100%,100%,100%,0:00:11,0:00:11,0:00:55,0:00:24,0,6,6,2026,Q2,0:01:19,#VALUE!,46179Sales_Ops_Queue
2026-06-07,78,7,Sales_Ops_Queue,2,14,3,2,0,2,14%,0%,100%,0.92,12,11,86%,79%,79%,0:00:36,0:00:06,0:03:41,0:00:50,0,7,6,2026,Q2,0:04:31,#VALUE!,46180Sales_Ops_Queue
2026-06-08,79,8,Sales_Ops_Queue,2,13,1,1,0,1,8%,0%,100%,0.92,12,11,92%,85%,85%,0:00:53,0:00:07,0:04:17,0:00:19,0,8,6,2026,Q2,0:04:36,#VALUE!,46181Sales_Ops_Queue
2026-06-09,80,9,Sales_Ops_Queue,3,19,2,1,0,1,5%,0%,100%,1,18,18,95%,95%,95%,0:00:18,0:00:07,0:03:23,0:35:56,0:00:01,9,6,2026,Q2,0:39:20,#VALUE!,46182Sales_Ops_Queue
2026-06-10,81,10,Sales_Ops_Queue,3,21,3,0,0,0,0%,0%,0%,1,21,21,100%,100%,100%,0:00:11,0:00:07,0:03:07,0:00:17,0,10,6,2026,Q2,0:03:24,#VALUE!,46183Sales_Ops_Queue
2026-06-11,82,11,Sales_Ops_Queue,3,37,6,6,3,3,16%,8%,50%,0.84,31,26,84%,70%,78%,0:00:43,0:00:06,0:04:25,0:01:10,0,11,6,2026,Q2,0:05:35,#VALUE!,46184Sales_Ops_Queue
2026-06-12,83,12,Sales_Ops_Queue,1,2,0,0,0,0,0%,0%,0%,1,2,2,100%,100%,100%,0:00:07,0:00:07,0:04:16,0:00:02,0,12,6,2026,Q2,0:04:18,#VALUE!,46185Sales_Ops_Queue
2026-06-13,84,13,Sales_Ops_Queue,1,8,0,4,0,4,50%,0%,100%,0.75,4,3,50%,38%,38%,0:01:35,0:00:05,0:03:12,0:00:06,0,13,6,2026,Q2,0:03:18,#VALUE!,46186Sales_Ops_Queue
2026-06-14,85,14,Sales_Ops_Queue,2,15,2,0,0,0,0%,0%,0%,0.8,15,12,100%,80%,80%,0:00:29,0:00:07,0:03:37,0:01:15,0:00:01,14,6,2026,Q2,0:04:53,#VALUE!,46187Sales_Ops_Queue
2026-06-15,86,15,Sales_Ops_Queue,2,18,0,3,2,1,17%,11%,33%,0.8,15,12,83%,67%,78%,0:00:51,0:00:08,0:03:38,0:01:19,0,15,6,2026,Q2,0:04:57,#VALUE!,46188Sales_Ops_Queue
2026-06-16,87,16,Sales_Ops_Queue,3,42,7,0,0,0,0%,0%,0%,0.93,42,39,100%,93%,93%,0:00:17,0:00:06,0:02:33,0:00:09,0:00:01,16,6,2026,Q2,0:02:43,#VALUE!,46189Sales_Ops_Queue
